fish_number,obstacle_number,treatment,BL,curvature,wavespeed,wavelength,TBF,headAmp,tailAmp,U,Re,St
5,4,intact,3.2,7.40008983606468,6.58785714285714,0.520440714285714,12.6582278481013,0.05379,0.27056,0.0838981980495198,2684.74233758463,1.30627268044478
6,4,intact,3.1,7.7106230831494,15.21625,1.399895,10.8695652173913,0.0670006,0.2919894,0.077560298878584,2404.36926523611,1.26853214893764
1,0,ablated,3.2,8.01198979122901,3.40500000000001,0.374550000000001,9.09090909090909,0.2309568,0.27559656,0.14040935142818,4493.09924570176,0.570998611643626
2,0,ablated,3.7,9.73108810073715,7.22566666666667,1.30062,5.55555555555556,0.052919382,0.251914,0.101388010513946,3751.35638901601,0.510734178131441
3,0,ablated,3.5,21.2588514049881,11.2557142857143,0.967991428571429,11.6279069767442,0.11452284,0.3929926,0.246672387405382,8633.53355918836,0.648385701048758
4,0,ablated,3.3,6.88075373101945,5.08625,1.2308725,4.13223140495868,0.1139494,0.324522,0.115730949253059,3819.12132535095,0.382378268610203
5,0,ablated,3.8,17.631120119942,,,4.8780487804878,0.3752824,0.4190912,0.167878175899086,6379.37068416525,0.462747451434535
6,0,ablated,4.9,6.03533502358486,3.65766666666667,0.673010666666667,5.43478260869565,0.1588294,0.1765498,0.0804560668016291,3942.34727327983,0.584368354269017
7,0,ablated,5,7.41890077022177,6.32153846153846,0.98616,6.41025641025641,0.1159122,0.23929,0.169712074033211,8485.60370166056,0.451915476594224
1,2,ablated,3.5,10.1576860751647,8.65,0.87365,9.9009900990099,0.0920974,0.247279,0.0577445766330455,2021.06018215659,1.48396174274173
2,2,ablated,4.9,10.5961454559229,6.72375,0.6589275,10.2040816326531,0.1304734,0.2386888,0.0923696206421902,4526.11141146732,1.29203085571068
3,2,ablated,4,8.04758788390135,10.1316666666667,1.124615,9.00900900900901,0.0529694,0.2106658,0.0665492836973374,2661.97134789349,1.14074261037675
4,2,ablated,5,8.09684921763801,8.39375,0.79740625,10.5263157894737,0.06875316,0.2958786,0.112418835682191,5620.94178410957,1.38522675495061
5,2,ablated,4.4,12.7297032028906,9.15625000000001,0.915625000000001,10,0.1234308,0.1999314,0.0496207470423479,2183.31286986331,1.77284344237953
6,2,ablated,4.3,9.44874132578346,8.056875,0.8056875,10,0.0563496,0.28179124,0.082173433579586,3533.4576439222,1.47456699716272
1,3,ablated,3.5,12.4527556456615,6.61687499999999,0.608752499999999,10.8695652173913,0.05299778,0.21667,0.124814265761658,4368.49930165804,0.660411723330006
2,3,ablated,4.3,20.5020234075307,15.6361111111111,1.62615555555556,9.61538461538461,0.0746928,0.364384,0.191125350743025,8218.39008195008,0.788272035316421
3,3,ablated,3.5,12.3805672060499,9.38500000000001,0.63818,14.7058823529412,0.1620592,0.283494,0.163194313194546,5711.80096180913,0.894124473797172
4,3,ablated,4.2,8.52222546262775,3.26874999999999,0.294187499999999,11.1111111111111,0.078834,0.16063547,0.123136143113111,5171.71801075066,0.60878323324187
5,3,ablated,4.5,13.0100414897554,13.194375,1.200688125,10.989010989011,0.0972968,0.3596966,0.128243338856946,5770.95024856256,1.38698778931013
7,3,ablated,4.5,8.49485663534544,9.03714285714286,0.732008571428572,12.3456790123457,0.0750398,0.1923152,0.140812015275174,6336.54068738284,0.758754695534952
1,4,ablated,4.1,9.49632552593803,6.28750000000001,0.471562500000001,13.3333333333333,0.1283112,0.2632388,0.249925748611111,10246.9556930556,0.575786521128923
3,4,ablated,3.9,8.69265812273849,1.4225,0.1009975,14.0845070422535,0.076588,0.527908,0.144964727272727,5653.62436363636,2.00033235158834
4,4,ablated,4.2,10.2482997475866,14.1544444444444,1.51452555555555,9.34579439252336,0.082408,0.259430092,0.114651963636364,4815.38247272727,0.888186903485794
5,4,ablated,4.9,4.99793928984357,6.87090909090908,0.886347272727272,7.75193798449612,0.079369,0.2380654,0.0465024570247934,2278.62039421488,1.94458418804508
7,4,ablated,4.7,9.97478761447026,8.95777777777778,0.985355555555556,9.09090909090909,0.0930324,0.300412,0.063420225,2980.750575,2.02392619303155
